

|ID |Task                                                                                                 |Status / Type   |Age|
|171|Add automated tests covering the stage-aware closure-reason guardrails                               |Planned by Agent|2d |
|157|Show clearer Accepted Loss styling on closure dialog and detail pages                                |Planned by Agent|2d |
|159|Add an automated test that proves Accept-as-Loss never bypasses the closure dialog                   |Planned by Agent|2d |
|149|Let staff attach files larger than 3MB to replies                                                    |Planned by Agent|2d |
|150|Let staff upload a one-off file when replying without first saving it as evidence                    |Planned by Agent|2d |
|151|Show attached files as clickable links in the thread instead of plain text                           |Planned by Agent|2d |
|145|Show closure details in the email and Slack notifications                                            |Planned by Agent|2d |
|146|Add a Withdrawals Review walkthrough video to the training guide                                     |Planned by Agent|2d |
|147|Let reviewers filter the activity feed by closure events                                             |Planned by Agent|2d |
|142|Validate closure leaves are fully configured before publishing a tree                                |Planned by Agent|2d |
|141|Persist closure-leaf outcomes in tree run history with reason and category                           |Planned by Agent|2d |
|138|Add the structured Withdraw / Non-Issue closure UI                                                   |Planned by Agent|2d |
|137|Build the Withdrawals Review queue page                                                              |Planned by Agent|2d |
|139|Surface the closure rationale in the activity timeline                                               |Planned by Agent|2d |
|127|Auto-rerun missed cron jobs once after a deploy                                                      |Planned by Agent|2d |
|128|Show a “fresh deploy” note on the dashboard right after a restart                                    |Planned by Agent|2d |
|129|Cover the cron-runs table layout with a visual smoke test                                            |Planned by Agent|2d |
|126|Pick the winning Claim Detail variant and ship it to the real app                                    |Planned by Agent|2d |
|123|Show a notification when something important happens on the dashboard                                |Planned by Agent|2d |
|122|Filter the activity feed by person, action, or time range                                            |Planned by Agent|2d |
|121|Cover the other dashboard endpoints with automated tests                                             |Planned by Agent|2d |
|116|Let users edit subjects and apply error types in bulk from the queue                                 |Planned by Agent|3d |
|117|Make the new submission drawer keyboard-friendly with up/down navigation                             |Planned by Agent|3d |
|115|Test that two reviewers can no longer step on each other on a group                                  |Planned by Agent|3d |
|114|Show who’s collaborating from the queue list itself                                                  |Planned by Agent|3d |
|105|Keep table column headers visible while scrolling capped tables                                      |Planned by Agent|3d |
|104|Cap and scroll batch run history and other long lists on system pages                                |Planned by Agent|3d |
|103|Treat company holidays the same as weekends for urgent deadlines                                     |Planned by Agent|3d |
|96 |Show how long each batch run took, at a glance                                                       |Planned by Agent|3d |
|98 |Email admins when a batch run fails or is stopped unexpectedly                                       |Planned by Agent|3d |
|97 |Let admins click a past run to see which submissions were processed                                  |Planned by Agent|3d |
|92 |Add a real two-browser test that proves Queued badges and disabled buttons render for the second user|Planned by Agent|3d |
|91 |Cover the other draft Quality checks with automated tests                                            |Planned by Agent|3d |
|78 |Require a short note when staff withdraw a claim or group                                            |Planned by Agent|4d |
|77 |Show a closure-reason filter on the claims and groups list pages                                     |Planned by Agent|4d |
|79 |Add a monthly Withdrawn-vs-Denied trend chart to the dashboard                                       |Planned by Agent|4d |
|59 |Show notification opt-out controls in user-facing settings                                           |Planned by Agent|2w |
|60 |Verify daily brief sends correct content end-to-end with automated tests                             |Planned by Agent|2w |
|57 |Let bots reload the service token without a full restart                                             |Planned by Agent|2w |
|56 |Show attachment file sizes for every preview                                                         |Planned by Agent|2w |
|55 |Show preview button on submitted/failed submissions too                                              |Planned by Agent|2w |
|53 |Let users reply to a payor directly from the email thread                                            |Planned by Agent|2w |
|54 |Auto-suggest the right claim when an email response looks misrouted                                  |Planned by Agent|2w |
|52 |Show sent emails alongside drafts in the daily brief outbox                                          |Planned by Agent|2w |
|51 |One-click manual rerun for a failed scheduled job                                                    |Planned by Agent|2w |
|50 |Auto-pause sending to addresses that have bounced                                                    |Planned by Agent|2w |
|48 |Show full audit metadata in the activity feed                                                        |Planned by Agent|2w |
|49 |Sortable activity columns and quick action-key search                                                |Planned by Agent|2w |
|47 |Friendlier empty messages on the Queue page tabs                                                     |Planned by Agent|2w |
|28 |Let users add group evidence directly from the detail page                                           |Planned by Agent|2w |
